dec	hex	name
1110	0x0456	EID_I_CHANGE_WORK_MODE
1111	0x0457	EID_I_CHANGE_CLEAN_MODE
1112	0x0458	EID_I_CHANGE_WASH_MOP_CLEAN_AREA
1113	0x0459	EID_I_RECOVERY_FAN_SPEED
1114	0x045a	EID_I_GET_SINGLE_CONFIG_ITEM
1115	0x045b	EID_I_GET_NODES_CONFIG
1116	0x045c	EID_I_SET_NODES_CONFIG
1117	0x045d	EID_I_SEND_CONFIG
1118	0x045e	EID_I_WIFI_RESET
1119	0x045f	EID_I_CONFIG_WIFI_BEGIN
1120	0x0460	EID_I_CONFIG_WIFI_SUCCESS
1121	0x0461	EID_I_CONFIG_WIFI_FAILED
1122	0x0462	EID_I_GET_MCU_VER
1123	0x0463	EID_I_GET_MCU_RTC
1124	0x0464	EID_I_NET_CONN
1125	0x0465	EID_I_NET_DISCONN
1126	0x0466	EID_I_REMOTE_CTRL_START
1127	0x0467	EID_I_REMOTE_CTRL_END
1128	0x0468	EID_I_LOW_BATTERY_FIND_CHARGER
1129	0x0469	EID_I_LOW_BAT_WARN
1130	0x046a	EID_I_LOW_BAT_NEED_POWEROFF
1131	0x046b	EID_I_ENTER_DORMANT
1132	0x046c	EID_I_EXIT_DORMANT
1133	0x046d	EID_I_SYSTEM_WAKEUP
1134	0x046e	EID_I_CLEAN_TASK_PAUSED_MANUALLY
1135	0x046f	EID_I_IMU_SHAKEN
1136	0x0470	EID_I_REBUILD_MAP_DONE
1137	0x0471	EID_I_SLAM_LOCATION_SUCCESS
1138	0x0472	EID_I_CAN_PROVIDE_SHOW_POSE
1139	0x0473	EID_I_CHARGER_POSE_UPDATED
1140	0x0474	EID_I_APPOINTMENT_TASK_DISABLE
1141	0x0475	EID_I_TIME_TO_WORK_START
1142	0x0476	EID_I_ACTIVE_REGIONS_AT_WORK
1143	0x0477	EID_I_MAP_AND_REGION_CHANGED
1144	0x0478	EID_I_NODE_EXIT
1145	0x0479	EID_I_WATER_PUMP_CHANGE
1146	0x047a	EID_I_NO_MOVE_DEAL_DONE
1147	0x047b	EID_I_FIND_ROBOT
1148	0x047c	EID_I_FIND_ROBOT_STOP
1149	0x047d	EID_I_FIND_ROBOT_STOPPED
1150	0x047e	EID_I_UPDATE_CLEAN_REGIONS
1151	0x047f	EID_I_SILENT_UPGRADE_DOWNLOAD
1152	0x0480	EID_I_AUTO_FORBID_AREA_UPDATED
1153	0x0481	EID_I_START_CONNECT_TO_REMOTE
1154	0x0482	EID_I_GET_CONNECT_TO_REMOTE_RESULT
1156	0x0484	EID_I_FORBID_REGIONS_CHANGED
1157	0x0485	EID_I_CPS_IDLE
1158	0x0486	EID_I_CPS_DORMANT
1159	0x0487	EID_I_CPS_CLEAN
